# Maze ROI polygon — display resolution 1176x712
# Source: stitched.mp4  frame 200
# Commit this file to the repo. Do not edit manually.
# Format: x,y  (one vertex per line)
462,49
535,48
563,94
597,99
613,105
627,139
882,140
917,98
965,99
990,49
1058,52
1089,103
1148,107
1175,158
1151,213
1171,262
1174,286
1142,334
1089,331
1072,360
979,364
958,323
924,323
888,377
908,417
908,435
880,473
907,516
907,536
872,598
816,589
790,635
726,640
701,599
636,601
599,540
397,545
368,592
303,597
275,640
203,642
179,598
125,598
92,531
90,509
117,478
98,434
98,402
132,362
181,364
202,326
275,325
305,366
340,368
374,308
368,285
350,258
349,238
374,210
351,165
351,144
386,95
436,95
